Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Streptococcus pneumoniae D39 - ortholog count (reference : comparison)	Streptococcus pneumoniae D39 - ortholuge status	Streptococcus pneumoniae D39 - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus str. Newman - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus str. Newman - ortholuge status	Staphylococcus aureus subsp. aureus str. Newman - ortholog NCBI RefSeq accession	Bacillus subtilis subsp. subtilis str. 168 - ortholog count (reference : comparison)	Bacillus subtilis subsp. subtilis str. 168 - ortholuge status	Bacillus subtilis subsp. subtilis str. 168 - ortholog NCBI RefSeq accession
16132085	b4263	NP_418684.1	conserved protein, DUF853 family with NTPase fold	0	N/A		0	N/A		0	N/A	
16132086	b4264	NP_418685.1	DNA-binding transcriptional repressor, 5-gluconate-binding	0	N/A		0	N/A		0	N/A	
16132087	b4265	NP_418686.1	L-idonate and D-gluconate transporter	0	N/A		0	N/A		0	N/A	
16132088	b4266	NP_418687.1	5-keto-D-gluconate-5-reductase	1 to 1	RBB	YP_815809.1	0	N/A		0	N/A	
16132089	b4267	NP_418688.1	L-idonate 5-dehydrogenase, NAD-binding	0	N/A		0	N/A		0	N/A	
16132090	b4268	NP_418689.1	D-gluconate kinase, thermosensitive	0	N/A		0	N/A		0	N/A	
90111716	b4269	NP_418690.4	predicted alcohol dehydrogenase, Zn-dependent and NAD(P)-binding	0	N/A		0	N/A		0	N/A	
145698344	b4272	NP_418692.2	IS2 repressor TnpA	0	N/A		0	N/A		0	N/A	
16132094	b4273	NP_418693.1	IS2 transposase TnpB	0	N/A		0	N/A		0	N/A	
16132098	b4277	NP_418697.1	KpLE2 phage-like element; predicted protein	0	N/A		0	N/A		0	N/A	
16132099	b4278	NP_418698.1	IS4 transposase	0	N/A		0	N/A		0	N/A	
90111718	b4279	NP_418699.4	predicted transporter	0	N/A		0	N/A		2 to 1	RBB	NP_388177.1
90111719	b4280	NP_418700.2	predicted oxidoreductase	1 to 1	RBB	YP_816954.1	0	N/A		1 to 1	RBB	NP_388965.1
16132105	b4284	NP_418704.1	IS30 transposase	2 to 3	RBB	YP_816804.1;YP_816291.1	2 to 3	RBB	WP_031783734.1;YP_001333637	0	N/A	
16132108	b4287	NP_418707.1	KpLE2 phage-like element; iron-dicitrate transporter subunit	0	N/A		0	N/A		0	N/A	
16132109	b4288	NP_418708.1	KpLE2 phage-like element; iron-dicitrate transporter subunit	0	N/A		1 to 1	RBB	WP_000989091.1	1 to 1	RBB	NP_388631.1
16132110	b4289	NP_418709.1	KpLE2 phage-like element; iron-dicitrate transporter subunit	0	N/A		1 to 1	RBB	WP_000184741.1	0	N/A	
162135917	b4290	NP_418710.4	KpLE2 phage-like element; iron-dicitrate transporter subunit	1 to 1	RBB	YP_817102.1	2 to 1	RBB	WP_001214661.1;WP_001081351.1	1 to 1	RBB	NP_388633.1
16132112	b4291	NP_418711.1	KpLE2 phage-like element; ferric citrate outer membrane transporter	0	N/A		0	N/A		0	N/A	
16132113	b4292	NP_418712.1	KpLE2 phage-like element; transmembrane signal transducer for ferric citrate transport	0	N/A		0	N/A		0	N/A	
16132114	b4293	NP_418713.1	KpLE2 phage-like element; RNA polymerase, sigma 19 factor	0	N/A		0	N/A		1 to 1	Non-SSD	NP_390561.1
16132115	b4294	NP_418714.1	IS1 repressor TnpA	0	N/A		0	N/A		0	N/A	
90111724	b4295	NP_418715.2	predicted DNA-binding transcriptional regulator; KpLE2 phage-like element	0	N/A		0	N/A		1 to 1	RBB	NP_391822.1
16132117	b4296	NP_418716.1	KpLE2 phage-like element; predicted transporter	0	N/A		1 to 1	RBB	WP_000481425.1	1 to 2	RBB	NP_389833.1;NP_391887.1
16132118	b4297	NP_418717.1	KpLE2 phage-like element; predicted dehydratase	0	N/A		0	N/A		0	N/A	
90111725	b4298	NP_418718.4	KpLE2 phage-like element; predicted lyase/synthase	0	N/A		0	N/A		0	N/A	
16132120	b4299	NP_418719.1	KpLE2 phage-like element; predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A	
16132121	b4300	NP_418720.1	KpLE2 phage-like element; predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A	
16132122	b4301	NP_418721.1	KpLE2 phage-like element; predicted epimerase	0	N/A		0	N/A		0	N/A	
16132123	b4302	NP_418722.1	KpLE2 phage-like element; predicted phosphotransferase enzyme IIA component	0	N/A		1 to 3	RBB	WP_000050762.1	0	N/A	
16132124	b4303	NP_418723.1	KpLE2 phage-like element; predicted nucleoside triphosphatase	0	N/A		0	N/A		0	N/A	
16132125	b4304	NP_418724.1	KpLE2 phage-like element; predicted phosphotransferase enzyme IIC component	1 to 2	RBB	YP_816061.1	0	N/A		0	N/A	
90111726	b4305	NP_418725.4	KpLE2 phage-like element; predicted endoglucanase with Zn-dependent exopeptidase domain	0	N/A		0	N/A		0	N/A	
16132127	b4306	NP_418726.1	KpLE2 phage-like element; predicted methyltransferase	0	N/A		0	N/A		0	N/A	
16132128	b4307	NP_418727.1	KpLE2 phage-like element; predicted acetyltransferase	0	N/A		1 to 1	SSD	WP_001167174.1	0	N/A	
16132130	b4309	NP_418729.1	probable 9-O-acetyl N-acetylneuraminic acid esterase	0	N/A		0	N/A		0	N/A	
90111727	b4310	NP_418730.4	N-acetylneuraminic acid mutarotase	1 to 1	RBB	YP_816639.1	0	N/A		0	N/A	
90111728	b4311	NP_418731.2	N-acetylnuraminic acid outer membrane channel protein	0	N/A		0	N/A		0	N/A	
16132133	b4312	NP_418732.1	tyrosine recombinase/inversion of on/off regulator of fimA	0	N/A		0	N/A		0	N/A	
16132134	b4313	NP_418733.1	tyrosine recombinase/inversion of on/off regulator of fimA	0	N/A		0	N/A		0	N/A	
16132135	b4314	NP_418734.1	major type 1 subunit fimbrin (pilin)	0	N/A		0	N/A		0	N/A	
90111729	b4315	NP_418735.2	fimbrial protein involved in type 1 pilus biosynthesis	0	N/A		0	N/A		0	N/A	
49176488	b4316	NP_418736.3	chaperone, periplasmic	0	N/A		0	N/A		0	N/A	
16132138	b4317	NP_418737.1	outer membrane usher protein, type 1 fimbrial synthesis	0	N/A		0	N/A		0	N/A	
16132139	b4318	NP_418738.1	minor component of type 1 fimbriae	0	N/A		0	N/A		0	N/A	
16132140	b4319	NP_418739.1	minor component of type 1 fimbriae	0	N/A		0	N/A		0	N/A	
16132141	b4320	NP_418740.1	minor component of type 1 fimbriae	0	N/A		0	N/A		0	N/A	
16132142	b4321	NP_418741.1	fructuronate transporter	0	N/A		0	N/A		0	N/A	
16132143	b4322	NP_418742.1	mannonate hydrolase	0	N/A		0	N/A		1 to 1	RBB	NP_389116.1
16132144	b4323	NP_418743.1	D-mannonate oxidoreductase, NAD-binding	0	N/A		0	N/A		0	N/A	
16132145	b4324	NP_418744.1	DNA-binding transcriptional repressor	0	N/A		0	N/A		4 to 1	RBB	NP_391298.2
49176489	b4325	NP_418745.3	predicted protein	0	N/A		0	N/A		0	N/A	
90111730	b4326	NP_418746.4	RpoS stabilzer after DNA damage, anti-RssB factor	0	N/A		0	N/A		0	N/A	
16132148	b4327	NP_418747.1	Cell density-dependent motility repressor	0	N/A		0	N/A		0	N/A	
16132149	b4328	NP_418748.1	isoaspartyl dipeptidase	0	N/A		0	N/A		0	N/A	
16132150	b4329	NP_418749.1	inner membrane protein, SpmB family	0	N/A		0	N/A		0	N/A	
90111731	b4330	NP_418750.2	predicted inner membrane protein	0	N/A		0	N/A		0	N/A	
90111732	b4331	NP_418751.4	RNA 2'-phosphotransferase	0	N/A		0	N/A		0	N/A	
16132153	b4332	NP_418752.1	predicted inner membrane protein	0	N/A		0	N/A		0	N/A	
145698345	b4333	NP_418753.3	conserved protein	0	N/A		0	N/A		0	N/A	
90111734	b4334	NP_418754.2	predicted ATPase, activator of (R)-hydroxyglutaryl-CoA dehydratase	0	N/A		0	N/A		0	N/A	
90111735	b4335	NP_418755.4	predicted 2-hydroxyglutaryl-CoA dehydratase	0	N/A		0	N/A		0	N/A	
16132157	b4336	NP_418756.1	zinc-type alcohol dehydrogenase-like protein	0	N/A		0	N/A		0	N/A	
16132158	b4337	NP_418757.1	multidrug efflux system protein	0	N/A		0	N/A		0	N/A	
16132161	b4340	NP_418760.1	fused predicted DNA-binding transcriptional regulator/predicted aminotransferase	1 to 2	RBB	YP_816692.1	1 to 2	RBB	WP_001790036.1	1 to 2	RBB	NP_388418.1;NP_388968.2
16132162	b4341	NP_418761.1	conserved protein	0	N/A		0	N/A		0	N/A	
16132166	b4345	NP_418765.1	5-methylcytosine-specific restriction enzyme McrBC, subunit McrC	0	N/A		0	N/A		0	N/A	
90111737	b4346	NP_418766.4	5-methylcytosine-specific restriction enzyme McrBC, subunit McrB	1 to 1	RBB	YP_816579.1	0	N/A		1 to 1	RBB	NP_388491.1
145698346	b4347	NP_418767.4	toxic peptide regulated by antisense sRNA symR	0	N/A		0	N/A		0	N/A	
16132169	b4348	NP_418768.1	specificity determinant for hsdM and hsdR	2 to 1	RBB	YP_815958.1;YP_815961.1	0	N/A		0	N/A	
16132170	b4349	NP_418769.1	DNA methyltransferase M	2 to 1	RBB	YP_816267.1;YP_815962.1	2 to 1	RBB	WP_000028628.1;WP_000028659.1	0	N/A	
226524764	b4350	NP_418770.2	endonuclease R Type I restriction enzyme	1 to 1	RBB	YP_816269.1	1 to 1	RBB	WP_000331347.1	0	N/A	
16132172	b4351	NP_418771.1	methylated adenine and cytosine restriction protein	0	N/A		0	N/A		0	N/A	
90111738	b4352	NP_418772.4	predicted GTPase	0	N/A		1 to 1	RBB	WP_001062982.1	1 to 1	Non-SSD	NP_388218.1
16132174	b4353	NP_418773.1	conserved protein	0	N/A		0	N/A		0	N/A	
90111739	b4354	NP_418774.2	predicted inner membrane protein	0	N/A		0	N/A		2 to 1	RBB	NP_390749.2
16132176	b4355	NP_418775.1	methyl-accepting chemotaxis protein I, serine sensor receptor	0	N/A		0	N/A		2 to 4	RBB	NP_389742.2;NP_391001.1;NP_391004.2;NP_391249.1
16132177	b4356	NP_418776.1	L-galactonate transporter	0	N/A		1 to 4	RBB	WP_000660709.1	1 to 1	RBB	NP_389118.1
49176497	b4357	YP_026290.1	DNA-binding transcriptional activator for yjjMN; mutants fail to grow on L-galactonate	0	N/A		0	N/A		0	N/A	
226524765	b4358	NP_418778.4	L-galactonate oxidoreductase	0	N/A		0	N/A		0	N/A	
90111741	b4359	NP_418779.2	phosphoglycerol transferases I and II	0	N/A		0	N/A		0	N/A	
90111742	b4360	NP_418780.2	conserved protein	0	N/A		0	N/A		0	N/A	
16132182	b4361	NP_418781.1	DNA biosynthesis protein	0	N/A		3 to 2	RBB	WP_000803062.1	0	N/A	
16132183	b4362	NP_418782.1	DNA biosynthesis protein (primosomal protein I)	0	N/A		0	N/A		0	N/A	
145698348	b4363	NP_418783.2	conserved inner membrane protein	0	N/A		0	N/A		0	N/A	
90111743	b4364	NP_418784.4	inner membrane protein, H-NS-repressed, DUF1212 family	1 to 1	RBB	YP_816994.1	2 to 1	RBB	WP_001113406.1;WP_000354088.1	0	N/A	
16132186	b4365	NP_418785.1	predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A	
145698349	b4366	NP_418786.3	DNA-binding transcriptional activator for silent bgl operon, requires the bglJ4 allele to function; LuxR family	0	N/A		0	N/A		0	N/A	
345452726	b4366	NP_418786.4	DNA-binding transcriptional activator for silent bgl operon, requires the bglJ4 allele to function; LuxR family	0	N/A		0	N/A		0	N/A	
16132188	b4367	NP_418787.1	ferric iron reductase involved in ferric hydroximate transport	0	N/A		0	N/A		0	N/A	
16132189	b4371	NP_418788.1	16S rRNA m(2)G1207 methyltransferase	1 to 2	RBB	YP_816227.1	1 to 2	RBB	WP_000020304.1	2 to 1	RBB	NP_387987.1
16132190	b4372	NP_418789.1	DNA polymerase III, psi subunit	0	N/A		0	N/A		0	N/A	
16132191	b4373	NP_418790.1	ribosomal-protein-S18-alanine N-acetyltransferase	1 to 1	SSD	YP_815655.1	1 to 1	RBB	WP_000372758.1	1 to 1	SSD	NP_388474.1
16132192	b4374	NP_418791.1	dUMP phosphatase	1 to 1	RBB	YP_816508.1	1 to 1	RBB	WP_000540822.1	1 to 1	RBB	NP_388614.1
16132193	b4375	NP_418792.1	peptide chain release factor RF-3	1 to 1	RBB	YP_815909.1	1 to 1	RBB	WP_001049959.1	0	N/A	
16132194	b4376	NP_418793.1	periplasmic protein	0	N/A		0	N/A		0	N/A	
16132195	b4377	NP_418794.1	conserved protein, patatin-like family	0	N/A		0	N/A		0	N/A	
90111745	b4378	YP_026291.2	predicted DNase	0	N/A		0	N/A		0	N/A	
16132196	b4379	NP_418796.1	predicted pyruvate formate lyase activating enzyme	0	N/A		0	N/A		0	N/A	
16132197	b4380	NP_418797.1	conserved protein	0	N/A		0	N/A		0	N/A	
16132198	b4381	NP_418798.1	2-deoxyribose-5-phosphate aldolase, NAD(P)-linked	1 to 1	RBB	YP_816229.1	2 to 1	RBB	WP_001083311.1;WP_000667269.1	1 to 1	SSD	NP_391821.2
16132199	b4382	NP_418799.1	thymidine phosphorylase	1 to 1	Borderline-SSD	YP_816228.1	1 to 1	SSD	WP_001242318.1	1 to 1	SSD	NP_391819.2
16132200	b4383	NP_418800.1	phosphopentomutase	1 to 1	RBB	YP_816217.1	1 to 1	RBB	WP_000197806.1	1 to 1	RBB	NP_390231.2
16132201	b4384	NP_418801.1	purine-nucleoside phosphorylase	1 to 1	RBB	YP_816222.1	2 to 1	RBB	WP_000843292.1;WP_000160304.1	1 to 1	RBB	NP_389844.1
16132202	b4385	NP_418802.1	HipA family protein	0	N/A		0	N/A		0	N/A	
16132203	b4386	NP_418803.1	lipoate-protein ligase A	1 to 1	RBB	YP_816498.1	2 to 1	RBB	WP_000280803.1;WP_000668820.1	1 to 1	SSD	NP_388906.1
16132204	b4387	NP_418804.1	conserved membrane protein	0	N/A		0	N/A		0	N/A	
16132205	b4388	NP_418805.1	3-phosphoserine phosphatase	0	N/A		0	N/A		0	N/A	
16132206	b4389	NP_418806.1	DNA repair protein	1 to 1	SSD	YP_815444.1	1 to 1	RBB	WP_001085220.1	1 to 1	RBB	NP_387968.1
90111746	b4390	NP_418807.4	bifunctional DNA-binding transcriptional repressor/ NMN adenylyltransferase	0	N/A		0	N/A		0	N/A	
16132208	b4391	NP_418808.1	fused predicted transporter subunits of ABC superfamily: ATP-binding components	1 to 1	Non-SSD	YP_816845.1	1 to 1	RBB	WP_000388736.1	0	N/A	
90111747	b4392	NP_418809.4	lytic murein transglycosylase, soluble	0	N/A		0	N/A		1 to 1	RBB	NP_389039.1
16132210	b4393	NP_418810.1	DNA-binding transcriptional repressor, tryptophan-binding	0	N/A		0	N/A		0	N/A	
90111748	b4394	NP_418811.2	inosine/xanthosine triphosphatase	0	N/A		0	N/A		0	N/A	
16132212	b4395	NP_418812.1	predicted phosphoglyceromutase 2, co-factor independent	1 to 1	RBB	YP_816352.1	1 to 1	RBB	WP_000158374.1	1 to 1	SSD	NP_388915.1
16132213	b4396	NP_418813.1	right oriC-binding transcriptional activator, AraC family	0	N/A		0	N/A		2 to 1	RBB	NP_388114.1
16132214	b4397	NP_418814.1	conserved protein	0	N/A		0	N/A		0	N/A	
16132215	b4398	NP_418815.1	DNA-binding response regulator in two-component regulatory system with CreC	1 to 1	RBB	YP_815548.1	0	N/A		0	N/A	
16132216	b4399	NP_418816.1	sensory histidine kinase in two-component regulatory system with CreB or PhoB, regulator of the CreBC regulon	0	N/A		0	N/A		0	N/A	
16132217	b4400	NP_418817.1	inner membrane protein	0	N/A		0	N/A		0	N/A	
16132218	b4401	NP_418818.1	DNA-binding response regulator in two-component regulatory system with ArcB or CpxA	0	N/A		0	N/A		0	N/A	
16132219	b4402	NP_418819.1	predicted protein	0	N/A		0	N/A		0	N/A	
16132220	b4403	NP_418820.1	predicted rRNA methyltransferase	0	N/A		0	N/A		0	N/A	
49176004	b4406	YP_026160.1	conserved protein	0	N/A		0	N/A		0	N/A	
49176448	b4407	YP_026279.1	immediate sulfur donor in thiazole formation	0	N/A		0	N/A		0	N/A	
49176127	b4409	YP_025303.1	beta-lactam resistance membrane protein	0	N/A		0	N/A		0	N/A	
49176462	b4410	YP_026283.1	entericidin A membrane lipoprotein, antidote entericidin B	0	N/A		0	N/A		0	N/A	
49176463	b4411	YP_026284.1	entericidin B membrane lipoprotein	0	N/A		0	N/A		0	N/A	
49175991	b4412	YP_025292.1	toxic membrane protein, small	0	N/A		0	N/A		0	N/A	
49176035	b4415	YP_025295.1	toxic polypeptide, small	0	N/A		0	N/A		0	N/A	
49176087	b4419	YP_025297.1	toxic polypeptide, small	0	N/A		0	N/A		0	N/A	
49176088	b4421	YP_025298.1	toxic polypeptide, small	0	N/A		0	N/A		0	N/A	
49176089	b4423	YP_025299.1	toxic polypeptide, small	0	N/A		0	N/A		0	N/A	
49176107	b4428	YP_025301.1	toxic polypeptide, small	0	N/A		0	N/A		0	N/A	
49176368	b4453	YP_026227.1	toxic polypeptide, small	0	N/A		0	N/A		0	N/A	
49176371	b4455	YP_026229.1	toxic polypeptide, small	0	N/A		0	N/A		0	N/A	
145698280	b4460	YP_026162.2	fused L-arabinose transporter subunits of ABC superfamily: membrane components	0	N/A		0	N/A		0	N/A	
145698304	b4461	YP_026171.3	inner membrane protein, UPF0053 family	1 to 1	RBB	YP_817183.1	0	N/A		1 to 1	RBB	NP_388840.1
49176267	b4463	YP_026183.1	predicted FAD containing dehydrogenase	0	N/A		0	N/A		0	N/A	
49176279	b4464	YP_026186.1	predicted purine permease	1 to 4	RBB	YP_815785.1	0	N/A		0	N/A	
49176285	b4465	YP_026187.1	predicted dehydrogenase	0	N/A		0	N/A		0	N/A	
49176293	b4466	YP_026189.1	predicted inner membrane lipoprotein	0	N/A		0	N/A		0	N/A	
49176294	b4467	YP_026190.1	glycolate oxidase iron-sulfur subunit	0	N/A		0	N/A		1 to 1	SSD	NP_390747.1
49176295	b4468	YP_026191.1	glycolate oxidase FAD binding subunit	0	N/A		0	N/A		0	N/A	
49176302	b4469	YP_026196.1	conserved protein	0	N/A		0	N/A		0	N/A	
49176312	b4470	YP_026202.1	conserved protein	0	N/A		0	N/A		0	N/A	
49176314	b4471	YP_026204.1	L-serine dehydratase 3	1 to 3	RBB	YP_815591.1	1 to 3	RBB	WP_000460421.1	3 to 1	RBB	NP_389468.1
49176330	b4472	YP_026208.1	conserved membrane protein, predicted transporter	0	N/A		0	N/A		0	N/A	
49176336	b4473	YP_026211.1	conserved protein	1 to 1	SSD	YP_816591.1	1 to 1	RBB	WP_000593192.1	1 to 1	SSD	NP_389493.1
49176341	b4474	YP_026213.1	fructoselysine 3-epimerase	0	N/A		0	N/A		0	N/A	
49176352	b4475	YP_026219.1	RNA 3'-terminal phosphate cyclase	0	N/A		0	N/A		0	N/A	
49176355	b4476	YP_026221.1	gluconate transporter, low affinity GNT 1 system	0	N/A		0	N/A		0	N/A	
49176391	b4477	YP_026238.1	2-oxo-3-deoxygalactonate 6-phosphate aldolase	1 to 1	RBB	YP_815806.1	0	N/A		0	N/A	
49176390	b4478	YP_026237.1	galactonate dehydratase	0	N/A		0	N/A		0	N/A	
49176392	b4479	YP_026239.1	predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A	
49176402	b4480	YP_026246.1	DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A	
49176413	b4481	YP_026257.1	TDP-Fuc4NAc:lipidIIFuc4NAc transferase	0	N/A		0	N/A		0	N/A	
49176417	b4482	YP_026261.1	predicted protein, DUF2233 family	0	N/A		0	N/A		0	N/A	
49176429	b4483	YP_026271.1	quality control of Tat-exported FeS proteins; Mg-dependent cytoplasmic DNase	0	N/A		0	N/A		0	N/A	
49176443	b4484	YP_026277.1	inhibitor of the cpx response; periplasmic adaptor protein	0	N/A		0	N/A		0	N/A	
49176475	b4485	YP_026286.1	predicted sugar transporter subunit: ATP-binding component of ABC superfamily	1 to 7	RBB	YP_816232.1	0	N/A		0	N/A	
49176458	b4487	YP_026281.1	conserved protein	0	N/A		0	N/A		0	N/A	
94541120	b4501	YP_588463.1	response regulator inhibitor for tor operon	0	N/A		0	N/A		0	N/A	
94541118	b4502	YP_588461.1	conserved protein, UPF0153 family	0	N/A		0	N/A		0	N/A	
94541094	b4504	YP_588435.1	predicted protein	0	N/A		0	N/A		0	N/A	
94541137	b4506	YP_588437.1	rpmJ (L36) paralog	0	N/A		0	N/A		0	N/A	
94541097	b4509	YP_588439.1	expressed protein, DLP12 prophage	0	N/A		0	N/A		0	N/A	
94541098	b4510	YP_588440.1	DLP12 prophage; predicted lipoprotein	0	N/A		0	N/A		0	N/A	
94541099	b4511	YP_588441.1	conserved protein	0	N/A		0	N/A		1 to 1	RBB	YP_003097779
94541100	b4512	YP_588442.1	conserved protein, DUF466 family	0	N/A		0	N/A		0	N/A	
94541101	b4513	YP_588443.1	potassium ion accessory transporter subunit	0	N/A		0	N/A		0	N/A	
94541102	b4515	YP_588444.1	conserved protein	0	N/A		0	N/A		0	N/A	
94541103	b4516	YP_588445.1	IS1 repressor TnpA	0	N/A		0	N/A		0	N/A	
94541104	b4517	YP_588446.1	Multicopy suppressor of secG(Cs) and fabA6(Ts); predicted regulator of phosphatidylethanolamine synthesis	0	N/A		0	N/A		0	N/A	
94541090	b4518	NP_415525.2	conserved protein	0	N/A		0	N/A		0	N/A	
94541105	b4520	YP_588447.1	inner membrane division septum protein	0	N/A		0	N/A		0	N/A	
94541107	b4522	YP_588449.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
145698251	b4523	YP_588450.2	hypothetical protein	0	N/A		0	N/A		0	N/A	
94541109	b4526	YP_588451.1	Rac prophage; conserved protein	0	N/A		0	N/A		0	N/A	
94541091	b4527	NP_415872.2	Rac prophage; predicted protein	0	N/A		0	N/A		0	N/A	
94541110	b4528	YP_588452.1	Rac prophage; predicted lipoprotein	0	N/A		0	N/A		0	N/A	
94541111	b4529	YP_588453.1	predicted lipoprotein, DUF333 family	0	N/A		0	N/A		0	N/A	
94541092	b4532	NP_415954.2	mRNA interferase toxin of the HicAB toxin-antitoxin system	0	N/A		0	N/A		0	N/A	
94541112	b4533	YP_588454.1	hypothetical protein, Qin prophage	0	N/A		0	N/A		0	N/A	
145698274	b4535	YP_588455.2	predicted protein	0	N/A		0	N/A		0	N/A	
94541114	b4536	YP_588456.1	predicted protein	0	N/A		0	N/A		0	N/A	
94541093	b4537	NP_416416.2	predicted protein	0	N/A		0	N/A		0	N/A	
94541116	b4539	YP_588458.1	toxin of the YoeB-YefM toxin-antitoxin system	1 to 1	SSD	YP_817003.1	1 to 1	RBB	WP_000113262.1	0	N/A	
94541136	b4541	YP_588459.1	predicted protein	0	N/A		0	N/A		0	N/A	
94541117	b4542	YP_588460.1	predicted protein	0	N/A		0	N/A		0	N/A	
145698287	b4543	YP_001165324	predicted protein	0	N/A		0	N/A		0	N/A	
94541119	b4544	YP_588462.1	undecaprenyl phosphate-alpha-L-ara4N exporter; flippase ArnEF subunit	0	N/A		0	N/A		0	N/A	
94541121	b4546	YP_588464.1	predicted protein	0	N/A		0	N/A		0	N/A	
94541122	b4547	YP_588465.1	predicted membrane protein, UPF0370 family	0	N/A		0	N/A		0	N/A	
94541123	b4548	YP_588466.1	predicted protein	0	N/A		0	N/A		0	N/A	
94541124	b4550	YP_588467.1	conserved protein, DUF331 family	0	N/A		0	N/A		0	N/A	
94541125	b4551	YP_588468.1	predicted protein	0	N/A		0	N/A		0	N/A	
94541126	b4553	YP_588469.1	predicted protein	0	N/A		0	N/A		0	N/A	
94541127	b4554	YP_588470.1	predicted protein	0	N/A		0	N/A		0	N/A	
94541128	b4555	YP_588471.1	predicted protein	0	N/A		0	N/A		0	N/A	
94541129	b4557	YP_588472.1	conserved protein, UPF0161 family	1 to 1	Borderline-SSD	YP_817103.1	0	N/A		1 to 1	RBB	NP_390946.1
94541130	b4558	YP_588473.1	predicted lipoprotein	0	N/A		0	N/A		0	N/A	
94541131	b4559	YP_588474.1	predicted protein	0	N/A		0	N/A		0	N/A	
94541133	b4565	YP_588476.1	predicted enzyme IIB component of PTS	0	N/A		0	N/A		0	N/A	
94541138	b4566	YP_588477.1	conserved protein	0	N/A		0	N/A		0	N/A	
94541134	b4567	YP_588478.1	predicted protein	0	N/A		0	N/A		0	N/A	
145698350	b4568	YP_588479.2	predicted protein	0	N/A		0	N/A		0	N/A	
145698220	b4586	YP_001165307	hypothetical protein, no homologs	0	N/A		0	N/A		0	N/A	
145698228	b4588	YP_001165308	hypothetical protein, DLP12 prophage	0	N/A		0	N/A		0	N/A	
145698229	b4589	YP_001165309	hypothetical protein	0	N/A		0	N/A		0	N/A	
145698231	b4590	YP_001165310	hypothetical protein	0	N/A		0	N/A		0	N/A	
145698240	b4592	YP_001165313	hypothetical protein	0	N/A		0	N/A		0	N/A	
145698243	b4593	YP_001165314	hypothetical protein	0	N/A		0	N/A		0	N/A	
145698244	b4594	YP_001165315	hypothetical protein	0	N/A		0	N/A		0	N/A	
145698250	b4595	YP_001165316	hypothetical protein	0	N/A		0	N/A		0	N/A	
145698252	b4596	YP_001165317	hypothetical protein	0	N/A		0	N/A		0	N/A	
145698258	b4598	YP_001165318	hypothetical protein	0	N/A		0	N/A		0	N/A	
145698263	b4599	YP_001165319	expressed protein, membrane-associated	0	N/A		0	N/A		0	N/A	
145698267	b4601	YP_001165320	hypothetical protein	0	N/A		0	N/A		0	N/A	
145698270	b4602	YP_001165321	hypothetical protein	0	N/A		0	N/A		0	N/A	
145698284	b4604	YP_001165322	hypothetical protein	0	N/A		0	N/A		0	N/A	
145698299	b4606	YP_001165325	hypothetical protein	0	N/A		0	N/A		0	N/A	
145698318	b4612	YP_001165327	hypothetical protein	0	N/A		0	N/A		0	N/A	
145698321	b4613	YP_001165328	Damage inducible, function unknown	0	N/A		0	N/A		0	N/A	
145698329	b4618	YP_001165331	lexA-regulated toxic peptide involved in persister formation; membrane peptide that decreases proton motive force and ATP levels	0	N/A		0	N/A		0	N/A	
145698339	b4620	YP_001165332	hypothetical protein, no homologs	0	N/A		0	N/A		0	N/A	
145698341	b4621	YP_001165333	hypothetical protein	0	N/A		0	N/A		0	N/A	
145698342	b4622	YP_001165334	hypothetical protein	0	N/A		0	N/A		0	N/A	
157783150	b4637	YP_001491546	ryhB-regulated fur leader peptide	0	N/A		0	N/A		0	N/A	
157783151	b4655	YP_001491548	expressed protein	0	N/A		0	N/A		0	N/A	
226524697	b4662	YP_002791237	Inhibitor of glucose uptake	0	N/A		0	N/A		0	N/A	
226524726	b4663	YP_002791245	expressed protein	0	N/A		0	N/A		0	N/A	
226524748	b4664	YP_002791256	toxic membrane protein	0	N/A		0	N/A		0	N/A	
226524746	b4665	YP_002791255	toxic membrane protein	0	N/A		0	N/A		0	N/A	
226524749	b4666	YP_002791257	toxic membrane protein	0	N/A		0	N/A		0	N/A	
226524729	b4667	YP_002791247	toxic membrane protein	0	N/A		0	N/A		0	N/A	
226524730	b4668	YP_002791248	toxic membrane protein	0	N/A		0	N/A		0	N/A	
226524760	b4669	YP_002791259	expressed protein	0	N/A		0	N/A		0	N/A	
226524762	b4670	YP_002791261	expressed protein	0	N/A		0	N/A		0	N/A	
226524699	b4671	YP_002791238	expressed protein	0	N/A		0	N/A		0	N/A	
