Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Pseudomonas stutzeri DSM 10701 - ortholog count (reference : comparison)	Pseudomonas stutzeri DSM 10701 - ortholuge status	Pseudomonas stutzeri DSM 10701 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa DK2 - ortholog count (reference : comparison)	Pseudomonas aeruginosa DK2 - ortholuge status	Pseudomonas aeruginosa DK2 - ortholog NCBI RefSeq accession	Propionibacterium propionicum F0230a - ortholog count (reference : comparison)	Propionibacterium propionicum F0230a - ortholuge status	Propionibacterium propionicum F0230a - ortholog NCBI RefSeq accession	Pseudomonas putida S16 - ortholog count (reference : comparison)	Pseudomonas putida S16 - ortholuge status	Pseudomonas putida S16 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa NCGM2.S1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa NCGM2.S1 - ortholuge status	Pseudomonas aeruginosa NCGM2.S1 - ortholog NCBI RefSeq accession	Corynebacterium kroppenstedtii DSM 44385 - ortholog count (reference : comparison)	Corynebacterium kroppenstedtii DSM 44385 - ortholuge status	Corynebacterium kroppenstedtii DSM 44385 - ortholog NCBI RefSeq accession	Pseudomonas mendocina ymp - ortholog count (reference : comparison)	Pseudomonas mendocina ymp - ortholuge status	Pseudomonas mendocina ymp - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PA7 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PA7 - ortholuge status	Pseudomonas aeruginosa PA7 - ortholog NCBI RefSeq accession	Neisseria meningitidis MC58 - ortholog count (reference : comparison)	Neisseria meningitidis MC58 - ortholuge status	Neisseria meningitidis MC58 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession	Pseudomonas putida KT2440 - ortholog count (reference : comparison)	Pseudomonas putida KT2440 - ortholuge status	Pseudomonas putida KT2440 - ortholog NCBI RefSeq accession	Neisseria gonorrhoeae FA 1090 - ortholog count (reference : comparison)	Neisseria gonorrhoeae FA 1090 - ortholuge status	Neisseria gonorrhoeae FA 1090 - ortholog NCBI RefSeq accession
49176489	b4325	NP_418745.3	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111730	b4326	NP_418746.4	RpoS stabilzer after DNA damage, anti-RssB factor	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132148	b4327	NP_418747.1	Cell density-dependent motility repressor	1 to 1	RBB	WP_014851162.1	1 to 1	RBB	WP_003096819.1	0	N/A		1 to 1	RBB	WP_023660641.1	1 to 1	RBB	WP_003096819.1	0	N/A		1 to 1	RBB	WP_003242125.1	1 to 1	RBB	WP_003096819.1	0	N/A		1 to 1	RBB	WP_003122350.1	1 to 1	RBB	NP_747438.1	0	N/A	
16132149	b4328	NP_418748.1	isoaspartyl dipeptidase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132150	b4329	NP_418749.1	inner membrane protein, SpmB family	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111731	b4330	NP_418750.2	predicted inner membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111732	b4331	NP_418751.4	RNA 2'-phosphotransferase	0	N/A		1 to 1	RBB	WP_003111523.1	0	N/A		0	N/A		1 to 1	RBB	WP_003083590.1	0	N/A		0	N/A		1 to 1	RBB	WP_011979076.1	0	N/A		1 to 1	RBB	WP_003136950.1	0	N/A		0	N/A	
16132153	b4332	NP_418752.1	predicted inner membrane protein	1 to 1	RBB	WP_014852017.1	0	N/A		0	N/A		1 to 1	RBB	WP_013973696.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_746636.1	0	N/A	
145698345	b4333	NP_418753.3	conserved protein	1 to 1	RBB	WP_014854371.1	3 to 1	RBB	WP_003088602.1;WP_003117869.1;WP_003112955.1	0	N/A		2 to 1	RBB	WP_013974674.1;WP_013974675.1	3 to 1	RBB	WP_003084355.1;WP_003088602.1;WP_003084375.1	0	N/A		2 to 1	RBB	WP_012020020.1;WP_041772992.1	3 to 1	RBB	WP_033997975.1;WP_003152950.1;WP_012073935.1	0	N/A		3 to 1	RBB	WP_003088602.1;WP_016254323.1;WP_003084375.1	2 to 1	RBB	NP_747253.1;NP_747252.1	0	N/A	
90111734	b4334	NP_418754.2	predicted ATPase, activator of (R)-hydroxyglutaryl-CoA dehydratase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111735	b4335	NP_418755.4	predicted 2-hydroxyglutaryl-CoA dehydratase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132157	b4336	NP_418756.1	zinc-type alcohol dehydrogenase-like protein	1 to 1	RBB	WP_043942522.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_041629637.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132158	b4337	NP_418757.1	multidrug efflux system protein	0	N/A		0	N/A		0	N/A		1 to 2	RBB	WP_013974097.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 2	RBB	NP_743513.1	0	N/A	
16132161	b4340	NP_418760.1	fused predicted DNA-binding transcriptional regulator/predicted aminotransferase	1 to 1	RBB	WP_014852039.1	1 to 1	RBB	WP_003100354.1	1 to 2	RBB	WP_014848081.1	1 to 1	RBB	WP_013974783.1	1 to 1	RBB	WP_003088661.1	1 to 2	RBB	WP_041629581.1	1 to 1	RBB	WP_011920542.1	1 to 1	RBB	WP_012076005.1	0	N/A		1 to 1	RBB	WP_003100354.1	1 to 1	RBB	NP_747376.1	0	N/A	
16132162	b4341	NP_418761.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132166	b4345	NP_418765.1	5-methylcytosine-specific restriction enzyme McrBC, subunit McrC	0	N/A		0	N/A		1 to 1	RBB	WP_014845575.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111737	b4346	NP_418766.4	5-methylcytosine-specific restriction enzyme McrBC, subunit McrB	0	N/A		0	N/A		1 to 1	RBB	WP_041696122.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
145698346	b4347	NP_418767.4	toxic peptide regulated by antisense sRNA symR	0	N/A		1 to 1	RBB	YP_006482186	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132169	b4348	NP_418768.1	specificity determinant for hsdM and hsdR	1 to 1	RBB	WP_014850908.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	Borderline-SSD	WP_034065831.1	0	N/A		0	N/A		0	N/A		0	N/A	
16132170	b4349	NP_418769.1	DNA methyltransferase M	1 to 1	RBB	WP_014850909.1	0	N/A		1 to 1	RBB	WP_014847820.1	0	N/A		3 to 1	RBB	WP_014603866.1;WP_003084161.1;WP_014603867.1	0	N/A		1 to 1	RBB	WP_011920779.1	1 to 1	RBB	WP_012077896.1	1 to 1	Borderline-SSD	NP_273871.1	0	N/A		1 to 1	Non-SSD	NP_746849.1	1 to 2	RBB	YP_207560.1;YP_207838.1
226524764	b4350	NP_418770.2	endonuclease R Type I restriction enzyme	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012077898.1	1 to 1	RBB	NP_273876.1	0	N/A		1 to 1	Non-SSD	NP_746848.1	1 to 2	RBB	YP_207833.1;YP_207562.1
16132172	b4351	NP_418771.1	methylated adenine and cytosine restriction protein	0	N/A		0	N/A		1 to 1	RBB	WP_014847823.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_041025421.1	0	N/A		0	N/A		0	N/A		0	N/A	
90111738	b4352	NP_418772.4	predicted GTPase	1 to 1	RBB	WP_014851599.1	1 to 1	RBB	WP_003094852.1	0	N/A		1 to 1	RBB	WP_044047287.1	1 to 1	RBB	WP_003094852.1	1 to 1	RBB	WP_041629406.1	0	N/A		1 to 1	RBB	WP_012077341.1	0	N/A		1 to 1	RBB	WP_003141582.1	1 to 1	RBB	NP_746748.1	0	N/A	
16132174	b4353	NP_418773.1	conserved protein	0	N/A		1 to 2	SSD	WP_003094856.1	0	N/A		0	N/A		1 to 2	SSD	WP_003094856.1	0	N/A		0	N/A		1 to 2	SSD	WP_003094856.1	1 to 2	RBB	NP_274502.1	1 to 2	SSD	WP_003094856.1	1 to 2	RBB	NP_746749.1	2 to 1	RBB	YP_208147.1
90111739	b4354	NP_418774.2	predicted inner membrane protein	1 to 2	RBB	WP_014854597.1	1 to 1	RBB	WP_003094859.1	0	N/A		1 to 1	RBB	WP_024087740.1	1 to 1	RBB	WP_003094859.1	0	N/A		0	N/A		1 to 1	RBB	WP_012077342.1	1 to 2	RBB	NP_274501.1	1 to 1	RBB	WP_003141584.1	1 to 1	RBB	NP_746750.1	2 to 1	RBB	YP_208146.1
16132176	b4355	NP_418775.1	methyl-accepting chemotaxis protein I, serine sensor receptor	10 to 3	RBB	WP_014852684.1;WP_014853762.1;WP_014853571.1;WP_014852828.1;WP_014853177.1;WP_014852408.1;WP_043942874.1;WP_014853597.1;WP_014854108.1;WP_014852516.1	1 to 4	Borderline-SSD	WP_003112650.1	0	N/A		8 to 3	RBB	YP_004701619;WP_013974548.1;WP_013974549.1;WP_013971860.1;WP_013972463.1;WP_013971890.1;WP_013974227.1;WP_013971695.1	1 to 4	Borderline-SSD	WP_003123817.1	0	N/A		1 to 4	RBB	WP_003245295.1	1 to 4	Borderline-SSD	WP_011979211.1	0	N/A		1 to 4	Borderline-SSD	WP_003137052.1	9 to 4	RBB	NP_746767.1;NP_747121.1;NP_743388.1;NP_744398.1;NP_747122.1;NP_744787.1;NP_744269.1;NP_744459.1;NP_745005.1	0	N/A	
16132177	b4356	NP_418776.1	L-galactonate transporter	1 to 4	RBB	WP_014851890.1	0	N/A		0	N/A		1 to 1	RBB	WP_038410431.1	1 to 4	RBB	WP_003111001.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 4	RBB	WP_009315749.1	2 to 1	RBB	NP_744981.1;NP_744795.1	0	N/A	
49176497	b4357	YP_026290.1	DNA-binding transcriptional activator for yjjMN; mutants fail to grow on L-galactonate	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_003246904.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
226524765	b4358	NP_418778.4	L-galactonate oxidoreductase	0	N/A		0	N/A		1 to 1	RBB	WP_041697136.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		2 to 1	RBB	YP_207353.1
90111741	b4359	NP_418779.2	phosphoglycerol transferases I and II	0	N/A		1 to 1	RBB	WP_003116326.1	0	N/A		1 to 1	RBB	WP_013972454.1	1 to 1	RBB	WP_003082248.1	0	N/A		1 to 1	RBB	WP_012018773.1	1 to 1	RBB	WP_012076223.1	0	N/A		1 to 1	RBB	WP_003140575.1	1 to 1	RBB	NP_744996.1	0	N/A	
90111742	b4360	NP_418780.2	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132182	b4361	NP_418781.1	DNA biosynthesis protein	0	N/A		0	N/A		0	N/A		1 to 2	RBB	WP_038408984.1	1 to 2	RBB	WP_023103991.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 2	RBB	NP_743709.1	2 to 1	RBB	YP_208676.1
16132183	b4362	NP_418782.1	DNA biosynthesis protein (primosomal protein I)	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
145698348	b4363	NP_418783.2	conserved inner membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111743	b4364	NP_418784.4	inner membrane protein, H-NS-repressed, DUF1212 family	0	N/A		0	N/A		1 to 1	RBB	WP_014846975.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132186	b4365	NP_418785.1	predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
145698349	b4366	NP_418786.3	DNA-binding transcriptional activator for silent bgl operon, requires the bglJ4 allele to function; LuxR family	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
345452726	b4366	NP_418786.4	DNA-binding transcriptional activator for silent bgl operon, requires the bglJ4 allele to function; LuxR family	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132188	b4367	NP_418787.1	ferric iron reductase involved in ferric hydroximate transport	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012019050.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132189	b4371	NP_418788.1	16S rRNA m(2)G1207 methyltransferase	1 to 1	RBB	WP_014853873.1	1 to 1	RBB	WP_003117439.1	1 to 2	RBB	WP_041697786.1	1 to 1	RBB	WP_013970935.1	1 to 1	RBB	WP_003094920.1	0	N/A		1 to 1	RBB	WP_012019614.1	1 to 1	RBB	WP_012077361.1	0	N/A		1 to 1	RBB	WP_003141607.1	1 to 1	RBB	NP_742922.1	0	N/A	
16132190	b4372	NP_418789.1	DNA polymerase III, psi subunit	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132191	b4373	NP_418790.1	ribosomal-protein-S18-alanine N-acetyltransferase	1 to 1	SSD	WP_014853844.1	1 to 1	SSD	WP_003111579.1	0	N/A		1 to 1	SSD	WP_013970827.1	1 to 1	SSD	WP_003095025.1	1 to 1	RBB	WP_012732347.1	1 to 1	SSD	WP_011921075.1	1 to 1	SSD	WP_012077442.1	1 to 1	SSD	NP_274868.1	1 to 1	SSD	WP_003095025.1	1 to 1	SSD	NP_742858.1	1 to 1	SSD	YP_207212.1
16132192	b4374	NP_418791.1	dUMP phosphatase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132193	b4375	NP_418792.1	peptide chain release factor RF-3	1 to 1	SSD	WP_014851617.1	1 to 1	SSD	WP_003093004.1	0	N/A		1 to 1	SSD	WP_003257876.1	1 to 1	SSD	WP_003093004.1	1 to 1	RBB	WP_012731197.1	1 to 1	SSD	WP_011920953.1	1 to 1	SSD	WP_012074489.1	1 to 1	SSD	NP_273669.1	1 to 1	SSD	WP_003093004.1	1 to 1	SSD	NP_743033.1	1 to 1	SSD	YP_207374.1
16132194	b4376	NP_418793.1	periplasmic protein	0	N/A		1 to 1	SSD	WP_003095177.1	0	N/A		0	N/A		1 to 1	SSD	WP_003095177.1	0	N/A		2 to 1	RBB	WP_011920489.1;WP_003240582.1	1 to 1	SSD	WP_003095177.1	0	N/A		1 to 1	SSD	WP_003095177.1	1 to 1	RBB	NP_742304.1	0	N/A	
16132195	b4377	NP_418794.1	conserved protein, patatin-like family	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_041629183.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111745	b4378	YP_026291.2	predicted DNase	1 to 1	RBB	WP_014851584.1	1 to 1	RBB	WP_003104370.1	0	N/A		1 to 1	RBB	WP_013970959.1	1 to 1	RBB	WP_003092129.1	0	N/A		1 to 1	RBB	WP_011920944.1	1 to 1	RBB	WP_003151546.1	1 to 1	RBB	NP_274691.1	1 to 1	RBB	WP_016254276.1	1 to 1	RBB	NP_742952.1	1 to 1	RBB	YP_208400.1
16132196	b4379	NP_418796.1	predicted pyruvate formate lyase activating enzyme	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132197	b4380	NP_418797.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132198	b4381	NP_418798.1	2-deoxyribose-5-phosphate aldolase, NAD(P)-linked	0	N/A		0	N/A		1 to 1	RBB	WP_014847737.1	0	N/A		0	N/A		1 to 1	RBB	WP_041629455.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132199	b4382	NP_418799.1	thymidine phosphorylase	0	N/A		0	N/A		1 to 1	RBB	WP_041696896.1	0	N/A		0	N/A		1 to 1	RBB	WP_012732015.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132200	b4383	NP_418800.1	phosphopentomutase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132201	b4384	NP_418801.1	purine-nucleoside phosphorylase	0	N/A		0	N/A		1 to 1	RBB	WP_014847345.1	0	N/A		0	N/A		1 to 1	RBB	WP_012731069.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132202	b4385	NP_418802.1	HipA family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132203	b4386	NP_418803.1	lipoate-protein ligase A	0	N/A		0	N/A		1 to 1	RBB	WP_014845720.1	0	N/A		0	N/A		1 to 1	RBB	WP_041629575.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132204	b4387	NP_418804.1	conserved membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132205	b4388	NP_418805.1	3-phosphoserine phosphatase	1 to 1	RBB	WP_014854302.1	1 to 1	SSD	WP_003095681.1	1 to 1	RBB	WP_041697791.1	1 to 1	SSD	WP_013974450.1	1 to 1	SSD	WP_003095681.1	1 to 1	RBB	WP_041629464.1	1 to 1	RBB	WP_041772797.1	1 to 1	SSD	WP_012077648.1	1 to 1	SSD	NP_274018.1	1 to 1	SSD	WP_003095681.1	1 to 1	SSD	NP_747012.1	1 to 1	SSD	YP_208520.1
16132206	b4389	NP_418806.1	DNA repair protein	1 to 1	SSD	WP_014854165.1	1 to 1	SSD	WP_003094867.1	1 to 1	RBB	WP_041696120.1	1 to 1	SSD	WP_003251626.1	1 to 1	SSD	WP_003094867.1	0	N/A		1 to 1	SSD	WP_011920926.1	1 to 1	SSD	WP_012077343.1	1 to 1	SSD	NP_273824.1	1 to 1	SSD	WP_003094867.1	1 to 1	SSD	NP_746753.1	1 to 1	SSD	YP_207523.1
90111746	b4390	NP_418807.4	bifunctional DNA-binding transcriptional repressor/ NMN adenylyltransferase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012018098.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132208	b4391	NP_418808.1	fused predicted transporter subunits of ABC superfamily: ATP-binding components	1 to 1	SSD	WP_014854170.1	1 to 1	SSD	WP_003094829.1	1 to 1	RBB	WP_041697283.1	1 to 1	SSD	WP_015268893.1	1 to 1	SSD	WP_003094829.1	1 to 1	RBB	WP_012732008.1	1 to 1	SSD	WP_011920929.1	1 to 1	SSD	WP_003157916.1	1 to 1	SSD	NP_273436.1	1 to 1	SSD	WP_003094829.1	1 to 1	SSD	NP_742835.1	1 to 1	SSD	YP_208614.1
90111747	b4392	NP_418809.4	lytic murein transglycosylase, soluble	1 to 1	SSD	WP_014852547.1	1 to 1	SSD	WP_003118099.1	0	N/A		1 to 1	SSD	WP_013971707.1	1 to 1	SSD	WP_003091222.1	0	N/A		1 to 1	SSD	WP_003245277.1	1 to 1	SSD	WP_012075140.1	1 to 1	SSD	NP_274943.1	1 to 1	SSD	WP_003138578.1	1 to 1	SSD	NP_744279.1	1 to 1	Borderline-SSD	YP_209144.1
16132210	b4393	NP_418810.1	DNA-binding transcriptional repressor, tryptophan-binding	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111748	b4394	NP_418811.2	inosine/xanthosine triphosphatase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132212	b4395	NP_418812.1	predicted phosphoglyceromutase 2, co-factor independent	0	N/A		1 to 2	RBB	WP_003133498.1	1 to 1	RBB	WP_041697560.1	0	N/A		1 to 2	RBB	WP_003086784.1	1 to 1	RBB	WP_041629443.1	1 to 2	RBB	WP_003244558.1	1 to 2	RBB	WP_012076590.1	0	N/A		1 to 2	RBB	WP_003109283.1	1 to 2	RBB	NP_743837.1	0	N/A	
16132213	b4396	NP_418813.1	right oriC-binding transcriptional activator, AraC family	0	N/A		0	N/A		1 to 2	RBB	WP_041697973.1	1 to 3	RBB	WP_013974175.1	0	N/A		0	N/A		1 to 3	RBB	WP_012019897.1	2 to 2	RBB	WP_012074493.1;WP_012075570.1	0	N/A		0	N/A		1 to 3	RBB	NP_746714.1	0	N/A	
16132214	b4397	NP_418814.1	conserved protein	1 to 1	RBB	WP_014854147.1	1 to 1	SSD	WP_003116269.1	0	N/A		1 to 1	SSD	WP_003256322.1	1 to 1	SSD	WP_003094746.1	0	N/A		1 to 1	RBB	WP_012019621.1	1 to 1	SSD	WP_012077316.1	1 to 1	SSD	NP_274354.1	1 to 1	SSD	WP_003094746.1	1 to 1	SSD	NP_742853.1	1 to 1	RBB	YP_207715.1
16132215	b4398	NP_418815.1	DNA-binding response regulator in two-component regulatory system with CreC	0	N/A		1 to 1	RBB	WP_003113268.1	1 to 2	RBB	WP_003780993.1	1 to 1	RBB	WP_013970528.1	1 to 1	RBB	WP_003084734.1	0	N/A		1 to 1	RBB	WP_012019951.1	1 to 1	RBB	WP_012074043.1	0	N/A		1 to 1	RBB	WP_004365157.1	0	N/A		0	N/A	
16132216	b4399	NP_418816.1	sensory histidine kinase in two-component regulatory system with CreB or PhoB, regulator of the CreBC regulon	0	N/A		1 to 1	RBB	WP_003084735.1	0	N/A		1 to 1	RBB	WP_013970529.1	1 to 1	RBB	WP_003084735.1	0	N/A		1 to 1	RBB	WP_012019950.1	1 to 1	RBB	WP_012074044.1	0	N/A		1 to 1	RBB	WP_003084735.1	0	N/A		0	N/A	
16132217	b4400	NP_418817.1	inner membrane protein	0	N/A		1 to 1	RBB	WP_003099944.1	0	N/A		1 to 1	RBB	WP_013970530.1	1 to 1	RBB	WP_003084736.1	0	N/A		1 to 1	RBB	WP_012019940.1	1 to 1	RBB	WP_012074045.1	0	N/A		1 to 1	RBB	WP_004365158.1	0	N/A		0	N/A	
16132218	b4401	NP_418818.1	DNA-binding response regulator in two-component regulatory system with ArcB or CpxA	0	N/A		1 to 2	RBB	WP_003148278.1	0	N/A		1 to 1	RBB	WP_013973084.1	1 to 2	RBB	WP_003148278.1	0	N/A		0	N/A		1 to 2	RBB	WP_041025534.1	0	N/A		1 to 2	RBB	WP_015503756.1	1 to 1	RBB	NP_745862.1	0	N/A	
16132219	b4402	NP_418819.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16132220	b4403	NP_418820.1	predicted rRNA methyltransferase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
49176004	b4406	YP_026160.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
49176448	b4407	YP_026279.1	immediate sulfur donor in thiazole formation	1 to 1	RBB	WP_014851202.1	1 to 1	RBB	WP_003084514.1	0	N/A		1 to 1	RBB	WP_003257817.1	1 to 1	RBB	WP_003084514.1	1 to 1	RBB	WP_012732324.1	1 to 1	RBB	WP_004373815.1	1 to 1	RBB	WP_003156175.1	0	N/A		1 to 1	RBB	WP_003084514.1	1 to 1	RBB	NP_747206.1	0	N/A	
49176127	b4409	YP_025303.1	beta-lactam resistance membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
49176462	b4410	YP_026283.1	entericidin A membrane lipoprotein, antidote entericidin B	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
49176463	b4411	YP_026284.1	entericidin B membrane lipoprotein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
49175991	b4412	YP_025292.1	toxic membrane protein, small	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
49176035	b4415	YP_025295.1	toxic polypeptide, small	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
49176087	b4419	YP_025297.1	toxic polypeptide, small	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
49176088	b4421	YP_025298.1	toxic polypeptide, small	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
49176089	b4423	YP_025299.1	toxic polypeptide, small	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
49176107	b4428	YP_025301.1	toxic polypeptide, small	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
49176368	b4453	YP_026227.1	toxic polypeptide, small	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
