Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Mycobacterium tuberculosis H37Rv - ortholog count (reference : comparison)	Mycobacterium tuberculosis H37Rv - ortholuge status	Mycobacterium tuberculosis H37Rv - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PAO1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PAO1 - ortholuge status	Pseudomonas aeruginosa PAO1 - ortholog NCBI RefSeq accession	Acinetobacter baumannii ATCC 17978 - ortholog count (reference : comparison)	Acinetobacter baumannii ATCC 17978 - ortholuge status	Acinetobacter baumannii ATCC 17978 - ortholog NCBI RefSeq accession	Escherichia coli IAI1 - ortholog count (reference : comparison)	Escherichia coli IAI1 - ortholuge status	Escherichia coli IAI1 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession
16131240	b3361	NP_417820.1	stationary-phase protein, cell division	1 to 1	RBB	WP_003899616.1	1 to 1	Borderline-SSD	YP_005239663	1 to 1	Borderline-SSD	NP_462373.1	1 to 1	RBB	NP_250057.1	0	N/A		1 to 1	RBB	YP_002388820	0	N/A	
16131241	b3362	NP_417821.1	predicted protein	0	N/A		1 to 1	SSD	YP_005239664	1 to 1	SSD	NP_462374.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388821	0	N/A	
16131242	b3363	NP_417822.1	peptidyl-prolyl cis-trans isomerase A (rotamase A)	0	N/A		1 to 1	SSD	YP_005239665	1 to 1	SSD	NP_462375.1	1 to 1	RBB	NP_251917.1	1 to 1	RBB	YP_001085960	1 to 1	RBB	YP_002388822	1 to 1	RBB	WP_003109185.1
16131243	b3364	NP_417823.1	predicted transporter	0	N/A		1 to 1	SSD	YP_005239667	1 to 1	SSD	NP_462376.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388823	0	N/A	
16131244	b3365	NP_417824.1	nitrite reductase, large subunit, NAD(P)H-binding	1 to 1	RBB	WP_031647055.1	1 to 1	SimNSSD	YP_005239669	1 to 1	SimNSSD	NP_462377.1	1 to 1	RBB	NP_250472.1	1 to 1	SSD	YP_001085034	1 to 1	RBB	YP_002388824	1 to 1	RBB	WP_003139951.1
16131245	b3366	NP_417825.1	nitrite reductase, NAD(P)H-binding, small subunit	1 to 1	RBB	WP_003401341.1	1 to 1	SSD	YP_005239670	1 to 1	SSD	NP_462378.1	1 to 1	RBB	NP_250471.1	0	N/A		1 to 1	RBB	YP_002388825	1 to 1	RBB	WP_003139953.1
90111575	b3367	YP_026212.2	nitrite transporter	0	N/A		1 to 1	SSD	YP_005239672	1 to 1	SSD	NP_462379.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388826	0	N/A	
16131246	b3368	NP_417827.1	fused siroheme synthase 1,3-dimethyluroporphyriongen III dehydrogenase and siroheme ferrochelatase/uroporphyrinogen methyltransferase	1 to 1	RBB	WP_003414535.1	1 to 1	SSD	YP_005239673	1 to 1	SSD	NP_462380.1	1 to 1	RBB	NP_251301.1	1 to 1	SSD	YP_001085712	1 to 1	RBB	YP_002388827	1 to 1	Borderline-SSD	WP_003138949.1
16131247	b3369	NP_417828.1	small lipoprotein	0	N/A		1 to 1	RBB	YP_005239677	1 to 1	RBB	NP_462383.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388828	0	N/A	
90111576	b3370	NP_417829.2	predicted fructoselysine transporter	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_001084363	1 to 1	RBB	YP_002388829	0	N/A	
162135909	b3371	NP_417830.4	fructoselysine-6-P-deglycase	0	N/A		2 to 1	RBB	YP_005239815;YP_005236276	2 to 1	RBB	NP_459564.1;NP_462502.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388830	0	N/A	
16131252	b3374	NP_417833.1	fructoselysine 6-kinase	0	N/A		1 to 1	RBB	YP_005239814	1 to 1	RBB	NP_462501.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388832	0	N/A	
162135910	b3375	NP_417834.6	predicted DNA-binding transcriptional regulator	1 to 4	RBB	WP_003404007.1	1 to 1	RBB	YP_005239816	1 to 1	RBB	NP_462503.1	1 to 1	RBB	NP_251492.1	1 to 2	RBB	YP_001084746	1 to 1	RBB	YP_002388833	1 to 1	RBB	WP_003104061.1
16131254	b3376	NP_417835.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002388834	0	N/A	
16131255	b3377	NP_417836.1	predicted inner membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002388835	0	N/A	
90111579	b3378	NP_417837.2	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002388836	0	N/A	
16131257	b3379	NP_417838.1	predicted hydrolase	1 to 1	RBB	WP_003900835.1	1 to 1	Non-SSD	YP_005239759	1 to 1	Non-SSD	NP_462451.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388837	0	N/A	
16131258	b3380	NP_417839.1	predicted mutase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002388838	0	N/A	
16131259	b3381	NP_417840.1	predicted amino acid racemase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002388839	0	N/A	
90111580	b3382	NP_417841.2	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002388840	0	N/A	
49176343	b3383	YP_026214.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002388841	0	N/A	
16131262	b3384	NP_417843.1	tryptophanyl-tRNA synthetase	1 to 1	RBB	WP_003417440.1	1 to 1	SSD	YP_005239679	1 to 1	SSD	NP_462384.1	1 to 1	SSD	NP_253129.1	1 to 1	Borderline-SSD	YP_001085735	1 to 1	RBB	YP_002388842	1 to 1	SSD	WP_003094300.1
16131263	b3385	NP_417844.1	phosphoglycolate phosphatase	1 to 1	RBB	WP_003911824.1	1 to 1	SSD	YP_005239680	1 to 1	SSD	NP_462385.1	1 to 1	RBB	NP_249299.1	1 to 1	RBB	YP_001083350	1 to 1	RBB	YP_002388843	1 to 1	RBB	WP_003099532.1
16131264	b3386	NP_417845.1	D-ribulose-5-phosphate 3-epimerase	1 to 1	RBB	WP_003898866.1	1 to 1	SSD	YP_005239681	1 to 1	SSD	NP_462386.1	1 to 1	SSD	NP_249298.1	1 to 1	SSD	YP_001083751	1 to 1	RBB	YP_002388844	1 to 1	SSD	WP_003085122.1
16131265	b3387	NP_417846.1	DNA adenine methyltransferase	0	N/A		1 to 1	SSD	YP_005239682	1 to 1	SSD	NP_462387.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388845	0	N/A	
16131266	b3388	NP_417847.1	cell division protein that binds to the septal ring	0	N/A		1 to 1	SSD	YP_005239683	1 to 1	SSD	NP_462388.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388846	0	N/A	
16131267	b3389	NP_417848.1	3-dehydroquinate synthase	1 to 1	RBB	WP_003413008.1	1 to 1	SSD	YP_005239684	1 to 1	SSD	NP_462389.1	1 to 1	SSD	NP_253725.1	1 to 1	SSD	YP_001086184	1 to 1	RBB	YP_002388847	1 to 1	SSD	WP_003107839.1
90111581	b3390	YP_026215.2	shikimate kinase I	1 to 1	RBB	WP_003413021.1	1 to 1	Borderline-SSD	YP_005239685	1 to 1	Borderline-SSD	NP_462390.1	1 to 1	Non-SSD	NP_253726.1	1 to 1	SSD	YP_001086185	1 to 1	RBB	YP_002388848	1 to 1	RBB	WP_003095833.1
16131268	b3391	NP_417850.1	protein required for the utilization of DNA as a carbon source; fimbrial transporter homolog	0	N/A		1 to 1	SSD	YP_005239686	1 to 1	SSD	NP_462391.1	1 to 1	Borderline-SSD	NP_253727.1	1 to 1	Borderline-SSD	YP_001086186	1 to 1	RBB	YP_002388849	1 to 1	Borderline-SSD	WP_003141780.1
90111582	b3392	NP_417851.4	protein required for the utilization of DNA as a carbon source	0	N/A		1 to 1	SSD	YP_005239687	1 to 1	SSD	NP_462392.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388850	0	N/A	
16131270	b3393	NP_417852.1	protein required for the utilization of DNA as a carbon source	0	N/A		1 to 1	SSD	YP_005239688	1 to 1	SSD	NP_462393.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388851	0	N/A	
16131271	b3394	NP_417853.1	protein required for the utilization of DNA as a carbon source; fimbrial assembly protein homolog	0	N/A		1 to 1	SSD	YP_005239689	1 to 1	SSD	NP_462394.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388852	0	N/A	
90111583	b3395	NP_417854.4	protein required for the utilization of DNA as a carbon source, pilus assembly protein homolog	0	N/A		1 to 1	SSD	YP_005239690	1 to 1	SSD	NP_462395.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388853	0	N/A	
162135911	b3396	NP_417855.4	fused penicillin-binding protein 1a: murein transglycosylase/murein transpeptidase	0	N/A		1 to 1	SSD	YP_005239691	1 to 1	SSD	NP_462396.2	1 to 1	SSD	NP_253732.1	1 to 1	SSD	YP_001086191	1 to 1	RBB	YP_002388854	1 to 1	SSD	WP_003141786.1
16131274	b3397	NP_417856.1	adenosine nucleotide hydrolase; substrates include Ap3A, Ap2A, ADP-ribose, NADH	0	N/A		1 to 1	SSD	YP_005239692	1 to 1	SSD	NP_462397.2	1 to 1	SSD	NP_253863.1	0	N/A		1 to 1	RBB	YP_002388855	1 to 1	RBB	WP_003096206.1
16131275	b3398	NP_417857.1	inner membrane protein	0	N/A		1 to 1	SSD	YP_005239694	1 to 1	SSD	NP_462398.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388856	0	N/A	
90111585	b3399	NP_417858.4	GMP/IMP nucleotidase	0	N/A		1 to 1	SSD	YP_005239695	1 to 1	SSD	NP_462399.1	1 to 1	RBB	NP_253864.1	1 to 1	RBB	YP_001084989	1 to 1	RBB	YP_002388857	1 to 1	RBB	WP_003135990.1
16131277	b3400	NP_417859.1	ribosome-associated heat shock protein Hsp15	0	N/A		1 to 1	SSD	YP_005239696	1 to 1	SSD	NP_462400.1	1 to 1	RBB	NP_253882.1	1 to 1	RBB	YP_001084990	1 to 1	RBB	YP_002388858	1 to 1	SSD	WP_003136003.1
90111586	b3401	NP_417860.2	heat shock protein Hsp33	0	N/A		1 to 1	SSD	YP_005239697	1 to 1	SSD	NP_462401.2	1 to 1	SSD	NP_253880.1	1 to 1	RBB	YP_001083428	1 to 1	RBB	YP_002388859	1 to 1	SSD	WP_003109983.1
16131279	b3402	NP_417861.1	predicted inner membrane protein	0	N/A		1 to 1	RBB	YP_005239698	1 to 1	RBB	NP_462402.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388860	0	N/A	
16131280	b3403	NP_417862.1	phosphoenolpyruvate carboxykinase	0	N/A		1 to 1	SSD	YP_005239701	1 to 1	SSD	NP_462403.1	1 to 1	RBB	NP_253879.1	0	N/A		1 to 1	RBB	YP_002388863	1 to 1	RBB	WP_003141918.1
16131281	b3404	NP_417863.1	sensory histidine kinase in two-component regulatory system with OmpR	0	N/A		1 to 1	SSD	YP_005239702	1 to 1	SSD	NP_462404.1	1 to 1	RBB	NP_253886.1	1 to 1	SSD	YP_001086222	1 to 1	RBB	YP_002388866	1 to 1	RBB	WP_003109988.1
16131282	b3405	NP_417864.1	DNA-binding response regulator in two-component regulatory system with EnvZ	0	N/A		1 to 1	Borderline-SSD	YP_005239703	1 to 1	Borderline-SSD	NP_462405.1	1 to 1	RBB	NP_253887.1	1 to 1	SSD	YP_001086221	1 to 1	RBB	YP_002388867	1 to 1	RBB	WP_003096259.1
90111587	b3406	YP_026216.2	transcript cleavage factor	1 to 2	RBB	WP_003405742.1	1 to 1	SSD	YP_005239704	1 to 1	SSD	NP_462406.1	1 to 1	RBB	NP_251549.1	1 to 1	RBB	YP_001085671	1 to 1	RBB	YP_002388868	1 to 1	SSD	WP_003090951.1
90111588	b3407	NP_417866.4	predicted transcriptional accessory protein	0	N/A		1 to 1	Borderline-SSD	YP_005239705	1 to 1	SSD	NP_462407.2	1 to 1	SSD	NP_253888.1	1 to 1	SSD	YP_001086219	1 to 1	RBB	YP_002388869	1 to 1	SSD	WP_003141923.1
16131284	b3408	NP_417867.1	ferrous iron transporter, protein A	0	N/A		1 to 1	SSD	YP_005239707	1 to 1	SSD	NP_462408.1	1 to 1	SSD	NP_253049.1	0	N/A		1 to 1	RBB	YP_002388870	1 to 1	RBB	WP_003103819.1
16131285	b3409	NP_417868.1	fused ferrous iron transporter, protein B: GTP-binding protein/membrane protein	0	N/A		1 to 1	SSD	YP_005239708	1 to 1	SSD	NP_462409.1	1 to 1	SSD	NP_253048.1	3 to 1	RBB	YP_001083320;YP_001085937;YP_001083704	1 to 1	RBB	YP_002388871	1 to 1	RBB	WP_003111342.1
16131286	b3410	NP_417869.1	predicted DNA-binding transcriptional regulator	0	N/A		1 to 1	SSD	YP_005239709	1 to 1	SSD	NP_462410.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388872	0	N/A	
16131287	b3411	NP_417870.1	predicted transposase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002388873	0	N/A	
16131288	b3412	NP_417871.1	pimeloyl-ACP carboxylesterase	0	N/A		1 to 1	SSD	YP_005239712	1 to 1	SSD	NP_462412.1	1 to 1	Borderline-SSD	NP_249193.1	1 to 1	RBB	YP_001083845	1 to 1	RBB	YP_002388874	1 to 1	SSD	WP_003084828.1
90111589	b3413	NP_417872.2	protein required for the utilization of DNA as a carbon source	0	N/A		1 to 1	SSD	YP_005239713	1 to 1	SSD	NP_462413.1	1 to 1	SSD	NP_249180.1	0	N/A		1 to 1	RBB	YP_002388875	1 to 1	SSD	WP_004365178.1
16131290	b3414	NP_417873.1	Fe/S biogenesis protein; possible scaffold/chaperone for damaged Fe/S proteins	0	N/A		1 to 1	SSD	YP_005239714	1 to 1	SSD	NP_462414.1	1 to 1	RBB	NP_250538.1	1 to 1	RBB	YP_001084013	1 to 1	RBB	YP_002388876	1 to 1	RBB	WP_003088034.1
49176350	b3415	YP_026217.1	gluconate transporter, high-affinity GNT I system	0	N/A		1 to 1	SSD	YP_005239716	1 to 1	SSD	NP_462415.1	1 to 3	RBB	NP_251012.1	1 to 4	RBB	YP_001083542	1 to 1	RBB	YP_002388877	1 to 3	RBB	WP_003107128.1
16131292	b3416	NP_417875.1	4-alpha-glucanotransferase (amylomaltase)	1 to 1	RBB	WP_003408795.1	1 to 1	SSD	YP_005239717	1 to 1	SSD	NP_462416.1	1 to 1	RBB	NP_250853.1	0	N/A		1 to 1	RBB	YP_002388878	1 to 1	RBB	WP_003139558.1
49176351	b3417	YP_026218.1	maltodextrin phosphorylase	0	N/A		1 to 1	Borderline-SSD	YP_005239718	1 to 1	Borderline-SSD	NP_462417.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388879	0	N/A	
16131294	b3418	NP_417877.1	DNA-binding transcriptional activator for the mal regulon and maltotriose-ATP-binding protein	1 to 1	RBB	WP_003899905.1	1 to 1	SSD	YP_005239720	1 to 1	SSD	NP_462418.1	3 to 1	RBB	NP_250451.1;NP_250450.1;NP_252610.1	0	N/A		1 to 1	RBB	YP_002388880	3 to 1	RBB	WP_033862763.1;WP_004355294.1;WP_003103006.1
16131295	b3421	NP_417879.1	conserved protein	1 to 1	RBB	WP_003413616.1	1 to 1	RBB	YP_005239724	1 to 1	RBB	NP_462422.1	1 to 1	SSD	NP_253273.1	1 to 1	RBB	YP_001085296	1 to 1	RBB	YP_002388882	1 to 1	SSD	WP_003134974.1
16131296	b3422	NP_417880.1	sigma 54-dependent transcriptional regulator of rtcBA expression	0	N/A		1 to 1	SSD	YP_005239727	1 to 1	SSD	NP_462424.1	1 to 1	RBB	NP_253271.1	1 to 1	RBB	YP_001085294	1 to 1	RBB	YP_002388883	1 to 1	RBB	WP_003094789.1
16131297	b3423	NP_417881.1	DNA-binding transcriptional repressor	0	N/A		1 to 1	SSD	YP_005239728	1 to 1	SSD	NP_462425.1	1 to 1	RBB	NP_252273.1	0	N/A		1 to 1	RBB	YP_002388884	1 to 1	RBB	WP_003092173.1
49176353	b3424	YP_026220.1	rhomboid intramembrane serine protease	0	N/A		1 to 1	SSD	YP_005239730	1 to 1	SSD	NP_462426.1	1 to 1	RBB	NP_251776.1	0	N/A		1 to 1	RBB	YP_002388885	1 to 1	RBB	WP_003138531.1
16131299	b3425	NP_417883.1	thiosulfate:cyanide sulfurtransferase (rhodanese)	0	N/A		1 to 1	Borderline-SSD	YP_005239731	1 to 1	Borderline-SSD	NP_462427.1	1 to 1	RBB	NP_249280.1	1 to 1	RBB	YP_001084438	1 to 1	RBB	YP_002388886	1 to 1	RBB	WP_003099577.1
16131300	b3426	NP_417884.1	sn-glycerol-3-phosphate dehydrogenase, aerobic, FAD/NAD(P)-binding	2 to 1	RBB	WP_003417217.1;WP_031647350.1	1 to 1	SSD	YP_005239732	1 to 1	SSD	NP_462428.1	1 to 1	SSD	NP_252274.1	1 to 1	SSD	YP_001085687	1 to 1	RBB	YP_002388887	1 to 1	SSD	WP_003109717.1
16131302	b3428	NP_417886.1	glycogen phosphorylase	1 to 1	RBB	WP_003901135.1	1 to 1	SSD	YP_005239739	1 to 1	SSD	NP_462435.1	1 to 1	RBB	NP_250834.1	0	N/A		1 to 1	RBB	YP_002388892	1 to 1	RBB	WP_003088906.1
16131303	b3429	NP_417887.1	glycogen synthase	0	N/A		1 to 1	SSD	YP_005239740	1 to 1	SSD	NP_462436.1	1 to 1	RBB	NP_250855.1	0	N/A		1 to 1	RBB	YP_002388893	1 to 1	SSD	WP_009877798.1
16131304	b3430	NP_417888.1	glucose-1-phosphate adenylyltransferase	1 to 1	RBB	WP_003406249.1	1 to 1	Borderline-SSD	YP_005239741	1 to 1	Borderline-SSD	NP_462437.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388894	0	N/A	
16131305	b3431	NP_417889.1	glycogen debranching enzyme	1 to 1	RBB	WP_003898930.1	1 to 1	SSD	YP_005239742	1 to 1	SSD	NP_462438.1	1 to 1	RBB	NP_250850.1	0	N/A		1 to 1	RBB	YP_002388895	1 to 1	RBB	WP_003132147.1
16131306	b3432	NP_417890.1	1,4-alpha-glucan branching enzyme	1 to 1	RBB	WP_003900318.1	1 to 1	SSD	YP_005239743	1 to 1	SSD	NP_462439.1	1 to 1	RBB	NP_250843.1	0	N/A		1 to 1	RBB	YP_002388896	1 to 1	SSD	WP_031632505.1
16131307	b3433	NP_417891.1	aspartate-semialdehyde dehydrogenase, NAD(P)-binding	0	N/A		1 to 1	SSD	YP_005239745	1 to 1	SSD	NP_462440.1	1 to 1	RBB	NP_251807.1	1 to 1	SSD	YP_001083484	1 to 1	RBB	YP_002388897	1 to 1	Borderline-SSD	WP_003111187.1
16131308	b3434	NP_417892.1	predicted antibiotic transporter	0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_254173.1	0	N/A		1 to 1	RBB	YP_002388898	1 to 1	RBB	WP_003102836.1
90111591	b3437	NP_417894.2	gluconate kinase 2	0	N/A		1 to 1	SSD	YP_005239749	1 to 1	SSD	NP_462443.1	1 to 2	RBB	NP_251011.1	1 to 2	RBB	YP_001083543	1 to 1	RBB	YP_002388900	1 to 2	RBB	WP_003139362.1
49176356	b3438	YP_026222.1	DNA-binding transcriptional repressor	1 to 9	RBB	WP_003419400.1	1 to 1	SSD	YP_005239750	1 to 1	SSD	NP_462444.1	1 to 2	RBB	NP_251010.1	0	N/A		1 to 1	RBB	YP_002388901	1 to 2	RBB	WP_003111384.1
16131311	b3439	NP_417896.1	quercetinase activity in vitro	1 to 1	RBB	WP_003401107.1	1 to 1	Borderline-SSD	YP_005239751	1 to 1	Borderline-SSD	NP_462445.1	1 to 1	RBB	NP_249901.1	1 to 1	RBB	YP_001085416	1 to 1	RBB	YP_002388902	1 to 1	SSD	WP_003140486.1
16131312	b3440	NP_417897.1	predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain	0	N/A		1 to 1	SSD	YP_005239752	1 to 1	SSD	NP_462446.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388903	0	N/A	
16131313	b3441	NP_417898.1	predicted acetyltransferase	0	N/A		1 to 1	Borderline-SSD	YP_005239755	1 to 1	Borderline-SSD	NP_462447.1	1 to 1	RBB	NP_250068.1	0	N/A		1 to 1	RBB	YP_002388904	1 to 1	RBB	WP_003082887.1
16131314	b3442	NP_417899.1	conserved protein	0	N/A		0	N/A		0	N/A		3 to 1	RBB	NP_250203.1;NP_253954.1;NP_248954.1	0	N/A		1 to 1	RBB	YP_002388905	4 to 1	RBB	WP_003083317.1
16131316	b3444	NP_417901.1	IS1 repressor TnpA	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16131317	b3445	NP_417902.1	IS1 transposase B	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16131318	b3446	NP_417903.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002388908	0	N/A	
16131319	b3447	NP_417904.1	gamma-glutamyltranspeptidase	1 to 1	RBB	WP_003899304.1	1 to 1	SSD	YP_005239760	1 to 1	SSD	NP_462452.1	1 to 1	RBB	NP_250029.1	1 to 1	RBB	YP_001083944	1 to 1	RBB	YP_002388909	1 to 1	RBB	WP_003086881.1
16131320	b3448	NP_417905.1	conserved protein, DUF2756 family	0	N/A		1 to 1	RBB	YP_005239762	1 to 1	RBB	NP_462453.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388910	0	N/A	
16131321	b3449	NP_417906.1	glycerophosphodiester phosphodiesterase, cytosolic	1 to 1	RBB	WP_003420924.1	1 to 1	Borderline-SSD	YP_005239763	1 to 1	Borderline-SSD	NP_462454.1	1 to 1	Non-SSD	NP_251680.1	0	N/A		1 to 1	RBB	YP_002388911	1 to 1	RBB	WP_003091176.1
90111593	b3450	NP_417907.2	glycerol-3-phosphate transporter subunit	2 to 2	RBB	WP_003410218.1;WP_003406299.1	1 to 1	Borderline-SSD	YP_005239764	1 to 1	Borderline-SSD	NP_462455.1	1 to 1	SSD	NP_251877.1	0	N/A		1 to 1	RBB	YP_002388912	1 to 1	RBB	WP_003114840.1
16131323	b3451	NP_417908.1	glycerol-3-phosphate transporter subunit	1 to 1	RBB	WP_003414504.1	1 to 1	Non-SSD	YP_005239765	1 to 1	Non-SSD	NP_462456.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388913	0	N/A	
16131324	b3452	NP_417909.1	glycerol-3-phosphate transporter subunit	2 to 1	RBB	WP_003410224.1;WP_003906794.1	1 to 1	Borderline-SSD	YP_005239766	1 to 1	Borderline-SSD	NP_462457.1	1 to 1	RBB	NP_251879.1	0	N/A		1 to 1	RBB	YP_002388914	1 to 1	RBB	WP_003091471.1
16131325	b3453	NP_417910.1	glycerol-3-phosphate transporter subunit	1 to 1	RBB	WP_003414501.1	1 to 1	Borderline-SSD	YP_005239767	1 to 1	Borderline-SSD	NP_462458.1	1 to 2	RBB	NP_251028.1	0	N/A		1 to 1	RBB	YP_002388915	1 to 2	RBB	WP_003139355.1
90111594	b3454	NP_417911.4	leucine/isoleucine/valine transporter subunit	0	N/A		1 to 1	SSD	YP_005239770	1 to 1	SSD	NP_462461.1	1 to 1	RBB	NP_249761.1	0	N/A		1 to 1	RBB	YP_002388916	1 to 1	RBB	WP_003086389.1
16131327	b3455	NP_417912.1	leucine/isoleucine/valine transporter subunit	0	N/A		1 to 1	Borderline-SSD	YP_005239771	1 to 1	Borderline-SSD	NP_462462.1	1 to 1	RBB	NP_249762.1	0	N/A		1 to 1	RBB	YP_002388917	1 to 1	RBB	WP_003082125.1
16131328	b3456	NP_417913.1	leucine/isoleucine/valine transporter subunit	0	N/A		1 to 1	SimNSSD	YP_005239772	1 to 1	SimNSSD	NP_462463.1	1 to 1	RBB	NP_249763.1	0	N/A		1 to 1	RBB	YP_002388918	1 to 1	RBB	WP_003140602.1
16131329	b3457	NP_417914.1	leucine/isoleucine/valine transporter subunit	0	N/A		1 to 1	SSD	YP_005239773	1 to 1	SSD	NP_462464.1	1 to 1	RBB	NP_249764.1	0	N/A		1 to 1	RBB	YP_002388919	1 to 1	RBB	WP_003086391.1
16131330	b3458	NP_417915.1	leucine transporter subunit	0	N/A		1 to 1	SSD	YP_005239774	1 to 1	SSD	NP_462465.1	1 to 2	RBB	NP_249765.1	0	N/A		1 to 1	RBB	YP_002388920	1 to 2	RBB	WP_003086396.1
16131331	b3459	NP_417916.1	pantothenate synthesis protein, predicted acetyltransferase	0	N/A		1 to 1	SSD	YP_005239776	1 to 1	SSD	NP_462466.1	0	N/A		0	N/A		1 to 1	RBB	YP_002388921	0	N/A	
49176358	b3460	YP_026223.1	leucine/isoleucine/valine transporter subunit	0	N/A		1 to 1	SSD	YP_005239778	1 to 1	SSD	NP_462468.1	1 to 2	RBB	NP_249765.1	0	N/A		1 to 1	RBB	YP_002388924	1 to 2	RBB	WP_003086396.1
16131333	b3461	NP_417918.1	RNA polymerase, sigma 32 (sigma H) factor	0	N/A		1 to 1	SSD	YP_005239779	1 to 1	SSD	NP_462469.1	1 to 1	SSD	NP_249067.1	1 to 1	SSD	YP_001085287	1 to 1	RBB	YP_002388925	1 to 1	SSD	WP_003084510.1
16131334	b3462	NP_417919.1	predicted transporter subunit: membrane component of ABC superfamily	0	N/A		1 to 1	SSD	YP_005239781	1 to 1	SSD	NP_462470.1	1 to 1	SSD	NP_249066.1	0	N/A		1 to 1	RBB	YP_002388926	1 to 1	SSD	WP_003084508.1
16131335	b3463	NP_417920.1	predicted transporter subunit: ATP-binding component of ABC superfamily	1 to 1	RBB	WP_003416120.1	1 to 1	SSD	YP_005239782	1 to 1	SSD	NP_462471.1	1 to 1	SSD	NP_249065.1	0	N/A		1 to 1	RBB	YP_002388927	1 to 1	SSD	WP_003084505.1
16131336	b3464	NP_417921.1	Signal Recognition Particle (SRP) receptor	1 to 1	RBB	WP_003899541.1	1 to 1	SSD	YP_005239783	1 to 1	SSD	NP_462472.1	1 to 1	SSD	NP_249064.1	1 to 1	SSD	YP_001084959	1 to 1	RBB	YP_002388928	1 to 1	SSD	WP_004365026.1
16131337	b3465	NP_417922.1	16S rRNA m(2)G966 methyltransferase, SAM-dependent	1 to 1	RBB	WP_003415001.1	1 to 1	SSD	YP_005239784	1 to 1	SSD	NP_462473.1	1 to 1	SSD	NP_249061.1	1 to 1	SSD	YP_001084053	1 to 1	RBB	YP_002388929	1 to 1	SSD	WP_003102864.1
16131338	b3466	NP_417923.1	conserved protein, DUF1145 family	0	N/A		1 to 1	SSD	YP_005239785	1 to 1	SSD	NP_462474.2	0	N/A		0	N/A		1 to 1	RBB	YP_002388930	0	N/A	
